Age,Sex,Course,Attitude_to_study,Hobby,Screen_Time(WD),Screen_Time(We),Working,Addiction,Doing_sports,Sporty_man,Prefer_gadget,Notification_annoy,Dont_disturb_mode,Notes_in_copybook,Notes_in_laptop,Free_time,Sociability,Science_content,Entertainment_content,Average_mark,Educational_institution,Charger_carrying,Notifications_delay
21,0,3,10,2,11,11,0,8,0,6,2,10,6,4,9,3,10,7,5,4.25,1,7,30
21,0,3,6,1,5,4,1,5,1,3,2,5,8,2,0,4,2,7,3,4.75,1,3,5
21,1,4,3,3,10,3,1,2,1,8,2,5,5,4,2,2,7,7,7,3.75,1,0,3
21,1,4,8,3,6,9,1,5,1,10,2,8,4,8,0,3,8,4,6,4.25,1,8,0
21,1,1,10,2,6,6,0,4,1,5,3,7,4,7,9,2,9,9,9,4.75,1,2,10
21,1,8,5,0,8,9,0,7,1,3,3,4,5,4,7,5,7,1,7,3.25,1,8,7
21,1,3,4,0,8,8,0,8,1,4,3,8,5,4,2,5,5,3,8,3.25,1,9,10
21,1,3,7,1,5,10,0,10,1,5,3,10,7,10,0,2,0,6,5,4.25,1,4,2
21,1,3,8,2,6,6,1,6,1,8,3,6,9,6,2,5,10,4,7,4.75,1,0,10
21,0,3,5,2,5,13,0,9,1,5,3,8,5,7,0,5,8,4,10,3.75,1,4,60
21,1,4,8,2,8,5,1,5,1,8,3,6,7,0,0,6,5,2,8,4.75,1,7,5
21,0,4,6,1,8,8,1,10,0,4,3,4,10,0,7,3,8,7,7,3.75,1,10,5
21,0,4,8,3,7,5,0,7,1,9,3,8,10,0,8,6,7,3,9,4.75,1,6,5
21,0,4,8,1,4,2,0,7,0,3,3,5,6,8,0,5,5,2,8,4.75,1,3,10
21,1,5,9,1,2,10,0,7,1,8,3,2,7,10,0,6,5,6,9,4.75,1,0,5
21,1,6,7,0,9,10,0,7,0,2,3,10,3,7,2,3,6,1,8,4.25,1,10,70
21,0,3,8,2,8,5,1,7,1,0,4,8,8,0,10,5,10,7,9,4.75,1,8,30
